jid,formula,band_gap,formation_energy_per_atom,energy_above_hull,structure_dict,symmetry,density
JVASP-38289,RbSrO3,0.0,-1.14494,0.6668,"{'lattice_mat': [[4.79061403810993, 0.0, -0.0], [-0.0, 4.79061403810993, 0.0], [0.0, 0.0, 4.79061403810993]], 'coords': [[0.0, 0.0, 0.0], [2.395305, 2.395305, 2.395305], [2.395305, 2.395305, 0.0], [2.395305, 0.0, 2.395305], [0.0, 2.395305, 2.395305]], 'elements': ['Rb', 'Sr', 'O', 'O', 'O'], 'abc': [4.79061, 4.79061, 4.79061], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,3.339
JVASP-38327,RbCaO3,0.0,-1.29606,0.6147,"{'lattice_mat': [[4.567429244803991, -0.0, -0.0], [-0.0, 4.567429244803991, 0.0], [-0.0, 0.0, 4.567429244803991]], 'coords': [[0.0, 0.0, 0.0], [2.283715, 2.283715, 2.283715], [2.283715, 2.283715, 0.0], [2.283715, 0.0, 2.283715], [0.0, 2.283715, 2.283715]], 'elements': ['Rb', 'Ca', 'O', 'O', 'O'], 'abc': [4.56743, 4.56743, 4.56743], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,3.024
JVASP-47532,Mn2FeO3,0.0,-1.20979,0.0,"{'lattice_mat': [[0.0, 5.343985475329381, -0.0026735297931084], [3.0782514448220177, 0.0, 0.0], [0.0, -0.019074297927879, -7.531176840807684]], 'coords': [[0.0, 3.5702536919181416, -2.54519332118918], [0.0, 1.754666308081858, -4.988656678810819], [1.539125, 2.671995, -0.001335], [0.0, 0.0, 0.0], [1.539125, 0.8741111575874448, -2.523751904558823], [1.539125, 4.450808842412556, -5.010098095441178], [0.0, 1.7715136364753774, -1.2812345730664785], [1.539125, 4.448450726222914, -1.2631701285869719], [1.539125, 0.8764692737770852, -6.270679871413027], [1.539125, 2.66246, -3.766925], [0.0, -0.009535, -3.76559], [0.0, 3.553406363524623, -6.25261542693352]], 'elements': ['Mn', 'Mn', 'Mn', 'Mn', 'Fe', 'Fe', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.343991, 3.07825, 7.531204], 'angles': [90.0, 90.1165, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '']}",,5.729
JVASP-39244,KBaO3,0.0,-0.98063,0.7754,"{'lattice_mat': [[4.969643056207229, 0.0, 0.0], [0.0, 4.969965606655087, 0.0], [0.0, 0.0, 4.969986374766228]], 'coords': [[0.0, 0.0, 0.0], [2.48482, 2.484985, 2.484995], [2.48482, 0.0, 2.484995], [2.48482, 2.484985, 0.0], [0.0, 2.484985, 2.484995]], 'elements': ['K', 'Ba', 'O', 'O', 'O'], 'abc': [4.96964, 4.96997, 4.96999], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,3.036
JVASP-38332,RbBaO3,0.0,-1.03013,0.7064,"{'lattice_mat': [[4.983366120515132, -0.0, -0.0], [-0.0, 4.983366120515132, -0.0], [-0.0, 0.0, 4.983366120515132]], 'coords': [[0.0, 0.0, 0.0], [2.491685, 2.491685, 2.491685], [2.491685, 2.491685, 0.0], [2.491685, 0.0, 2.491685], [0.0, 2.491685, 2.491685]], 'elements': ['Rb', 'Ba', 'O', 'O', 'O'], 'abc': [4.98337, 4.98337, 4.98337], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,3.633
JVASP-49894,PrTiO3,0.0,-3.33859,0.0444,"{'lattice_mat': [[3.934840743374984, 0.0, 0.0], [0.0, 3.934840743374984, 0.0], [-0.0, -0.0, 3.934840743374984]], 'coords': [[0.0, 0.0, 0.0], [1.96742, 1.96742, 1.96742], [0.0, 1.96742, 1.96742], [1.96742, 0.0, 1.96742], [1.96742, 1.96742, 0.0]], 'elements': ['Pr', 'Ti', 'O', 'O', 'O'], 'abc': [3.93484, 3.93484, 3.93484], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,6.454
JVASP-16932,CrO3,0.0,-1.40173,0.3039,"{'lattice_mat': [[3.607126660118592, 0.0, 0.0], [0.0, 3.607126660118592, 0.0], [0.0, -0.0, 3.607126660118592]], 'coords': [[1.803565, 1.803565, 1.803565], [1.803565, 0.0, 1.803565], [1.803565, 1.803565, 0.0], [0.0, 1.803565, 1.803565]], 'elements': ['Cr', 'O', 'O', 'O'], 'abc': [3.60713, 3.60713, 3.60713], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '']}",,3.538
JVASP-50108,LuGaO3,2.754,-2.99117,0.0,"{'lattice_mat': [[3.4433673533140112, -1.10495088143e-05, -4.74102872066e-05], [-1.7216941129369132, 2.982073107877127, -1.85286375387e-05], [-0.0001595735647816, -0.0001713245338824, 11.710045331408056]], 'coords': [[-7.3855418356425e-05, 0.00011583640722408244, 8.648870284302808e-06], [-2.3410844136449618e-05, -9.412717562313309e-05, 5.855021826806229], [-8.667961591350966e-05, 1.9880316601758035, 2.9274759143016285], [1.7215033815174976, 0.9939729477583423, 8.782504029636417], [-0.00011256893943621572, 1.9881382650545814, 0.998880942884896], [-5.313865653622941e-05, 3.178560002313928e-05, 2.9275094602391256], [-4.989976601052739e-05, 1.9879386235707504, 4.856054168525953], [-0.00020340740547274749, -7.784620305320756e-05, 8.78252690207306], [1.7214657293123088, 0.9939706910174173, 10.711105399942396], [1.7216009035460522, 0.9939865600545261, 6.853915992749966]], 'elements': ['Lu', 'Lu', 'Ga', 'Ga', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [3.44337, 3.443393, 11.71005], 'angles': [90.0007, 90.0016, 120.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '']}",,8.084
JVASP-22559,MgVO3,0.0,-2.67984,0.0856,"{'lattice_mat': [[4.7466791433972375, 0.0, -2.4527622108922724], [0.0, 5.204861466201544, 0.0], [-0.052065047639492, 0.0, 5.718601815935121]], 'coords': [[2.7259925430299803, 0.06654403139363241, -0.5439118653763737], [1.9686174569700168, 2.66897403139363, 3.809751865376372], [4.386988161498064, 0.06663277384542506, 2.6705113722378395], [0.307621838501934, 2.669062773845425, 0.5953286277621642], [1.143886022422046, 1.3678023106092652, -0.5909928799949938], [3.5507239775779564, 3.9702323106092643, 3.8568328799949927], [3.602866802802294, 1.3678023106092652, -1.8616261855423768], [1.091743197197705, 3.9702323106092643, 5.127466185542377], [3.6192799230658417, 0.06677002326238612, 1.1848098800006719], [1.0753300769341574, 2.6692000232623836, 2.08103011999933]], 'elements': ['Mg', 'Mg', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.34294, 5.20486, 5.718837], 'angles': [90.0, 117.8485, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '']}",,2.911
JVASP-37314,SrAlO3,0.0,-2.9274,0.0557,"{'lattice_mat': [[3.823532574797992, 0.0, -0.0], [0.0, 3.823532574797992, 0.0], [0.0, 0.0, 3.823532574797992]], 'coords': [[0.0, 0.0, 0.0], [1.911765, 1.911765, 1.911765], [1.911765, 1.911765, 0.0], [1.911765, 0.0, 1.911765], [0.0, 1.911765, 1.911765]], 'elements': ['Sr', 'Al', 'O', 'O', 'O'], 'abc': [3.82353, 3.82353, 3.82353], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,4.83
